ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Crystalactor EUR/year,Ostara Pearl kgPrec/year,Ostara Pearl EUR/kgPrec,Ostara Pearl EUR/year,P RoC kgPrec/year,P RoC EUR/kgPrec,P RoC EUR/year,REMNUT kgPrec/year,REMNUT EUR/kgPrec,REMNUT EUR/year,AirPrex kgPrec/year,AirPrex EUR/kgPrec,AirPrex EUR/year,PRISA kgPrec/year,PRISA EUR/kgPrec,PRISA EUR/year
9220,City of Greater Sudbury,Sudbury Wastewater Treatment Plant,Sudbury,ON,46.4647,-81.0352,operational,3553.0,Greater Sudbury / Grand Sudbury,23619.1,28160.682,32011.6,22569.554,22400.561,18024.962,22074.527,thousand m3,9991.577777604589,3796.799555489744,26.522272682480775,100699.75313142079,1998.3155555209178,33.24101719477726,66426.0417416617,2697.7259999532394,6.481236630009165,17484.60056862504,4696.041555474157,35.458613656285856,166515.1232294218,1498.7366666406883,24.20111716180747,36271.10166406808,1798.4839999688259,46.24296865992449,83167.23924593406
9281,City of Brockville (Corporation of the),Water Pollution Control Centre,Brockville,ON,44.6015,-75.6621,operational,3507.0,Leeds and Grenville,5532.572,5985.055399999999,5634.838,5671.4637,7227.6732,6181.8217,6850.210500000001,thousand m3,3100.6060063580812,1178.2302824160708,42.85165566750747,50489.11835912355,620.1212012716163,70.29335923294869,43590.4023689534,837.163621716682,8.384151657952732,7018.906766993632,1457.2848229882982,38.03759071672909,55431.60365452989,465.09090095371215,49.99328303513355,23251.421048444197,558.1090811444546,90.09746581378569,50284.213858775845
9389,City of Sault Ste. Marie,West End Water Pollution Control Plant,Sault Ste. Marie,ON,46.5239,-84.4076,operational,3557.0,Algoma,6569.351000000001,6281.178,5542.953,5183.883,6378.343,5037.284,6453.539000000001,thousand m3,2921.060861657627,1110.0031274298983,43.91259047160923,48743.1127570346,584.2121723315254,73.02879324519147,42664.309944523135,788.6864326475593,8.494903323146126,6699.814997618015,1372.8986049790847,38.173972808465194,52408.994015251374,438.15912924864404,51.876822114043875,22730.303205676264,525.7909550983728,93.21353605637238,49010.83415117664
9390,City of Sault Ste. Marie,East Wastewater Treatment Plant,Sault Ste. Marie,ON,46.5053,-84.2572,operational,3557.0,Algoma,12547.464,12392.997,10326.361,9755.35,11807.155,9726.786,14969.033,thousand m3,6775.422978486912,2574.6607318250267,31.101173552747245,80074.97025993338,1355.0845956973826,42.62268533301804,57757.34432202951,1829.3642041914663,7.059458072301882,12914.319898459555,3184.4487998888485,36.29473346090708,115578.7204118712,1016.3134467730367,30.7912956563048,31293.607819066765,1219.576136127644,57.70366173739463,70374.00882210833
9562,Corporation of the Municipality of Leamington,LEAMINGTON POLLUTION CONTROL CENTRE,Leamington,ON,42.0359,-82.588,operational,3537.0,Essex,7361.591,6610.6050000000005,6503.04,6694.878,6974.618,7187.49,7551.737,thousand m3,3418.137457328728,1298.8922337849167,41.17247753964136,53478.61132192408,683.6274914657456,66.04117885193864,45147.56543199146,922.8971134787566,8.206229883505513,7573.505872030351,1606.524604944502,37.81572445019525,60751.89178304007,512.7206185993092,47.06077068928489,24129.027459570385,615.264742319171,85.22698011363711,52437.155958258045
9835,The Regional Municipality of York,Keswick WPCP,Keswick,ON,44.2327,-79.4614,operational,3519.0,York,4146.109,3563.514,3007.873,3284.462,3775.039,3576.9266,3583.0514000000003,thousand m3,1621.794059019023,616.2817424272288,55.89364944957657,34446.23567340177,324.35881180380466,106.4248044011342,34519.82310200421,437.88439593513624,9.6689278351514,4233.872624435696,762.2432077389408,39.545771611820896,30143.495805905903,243.26910885285344,74.71558521993447,18175.993833872886,291.9229306234241,130.3585666644534,38054.65481255624
9840,Corporation of the City of Cornwall,Cornwall Wastewater Treatment Plant,Cornwall,ON,45.0291,-74.6787,operational,3501.0,"Stormont, Dundas and Glengarry",16905.0,16074.049,15125.312,16403.788,19199.398,17661.124,18960.801,thousand m3,8582.214147428069,3261.2413760226664,28.228316206564724,92059.35278830008,1716.4428294856139,36.638402539044655,62887.7233219507,2317.1978198055785,6.7017082525025256,15529.183751671906,4033.640649291192,35.783583918807466,144338.1186722244,1287.3321221142103,26.593588509609507,34234.78073070769,1544.7985465370523,50.42959736665569,77903.56871445847
9881,DEPARTMENT OF NATIONAL DEFENCE,Canadian Forces Base Borden,Borden,ON,44.3021,-79.8975,operational,3543.0,Simcoe,1257.673,1229.059,1032.001,1095.772,1244.648,1298.73,1165.596,thousand m3,527.582905457716,200.4815040739321,88.57711126528038,17758.072492987445,105.51658109154322,218.36048698957754,23040.652032624625,142.44738447358333,12.378653790190977,1763.3068557167137,247.96396556512653,42.30214146418895,10489.40674935726,79.13743581865741,149.89539683292722,11862.33734637796,94.96492298238888,247.24722209843415,23479.813404187396
9914,City of Kawartha Lakes,Lindsay WPCP,Lindsay,ON,44.39,-78.7439,operational,3516.0,Kawartha Lakes,5513.755,5369.8150000000005,4738.452,3912.735,5114.483,4487.236,4090.357,thousand m3,1851.415439328298,703.5378669447532,52.94002166528465,37245.309918403385,370.2830878656596,97.77720712772022,36205.246178132424,499.8821686186405,9.391317430915926,4694.552123552293,870.1652564843,39.23282339418295,34139.03983140246,277.7123158992447,68.82657103927787,19113.98643872174,333.2547790790936,120.88152112124635,40284.34461600574
9963,Town of Orangeville,Orangeville Water Pollution Control Plant,Orangeville,ON,43.9167,-80.0864,operational,3522.0,Dufferin,4242.403,4175.188,3738.123,3824.58,4554.443,4241.524,4146.94,thousand m3,1877.0265631992736,713.270094015724,52.642661029489744,37548.43578174204,375.40531263985474,96.92125834169552,36384.755289212335,506.7971720638039,9.362975390143776,4745.129449827857,882.2024847036586,39.20049680372912,34582.77568186766,281.553984479891,68.24280667447962,19214.03413129064,337.86478137586926,119.9386040690839,40523.03024232797
9985,City of Peterborough,PTBO WASTE WATER TREATMENT PLANT,Peterborough,ON,44.2771,-78.3183,operational,3515.0,Peterborough,16078.606,16151.479,14382.516,13882.305,16220.221,14905.457,14955.655,thousand m3,6769.367703666809,2572.3597273933874,31.112576886202024,80032.73979749644,1353.8735407333618,42.647082344542085,57738.75637575243,1827.7292799900385,7.060846835961787,12905.316503612377,3181.6028207234,36.296680605021336,115481.6213958322,1015.4051555500213,30.80836951250485,31282.97723708752,1218.4861866600256,57.7330775253677,70346.95747803291
10338,County of Oxford,Woodstock Wastewater Treatment Plant,Woodstock,ON,43.1366,-80.7729,operational,3532.0,Oxford,8697.15,7383.676,6159.391,7413.814,8399.734,8362.058,8619.056,thousand m3,3901.237312741945,1482.470178841939,39.000280852958056,57816.75333097058,780.2474625483891,60.68349640559415,47348.14408902913,1053.3340744403251,7.971000800457163,8396.126750512636,1833.581536988714,37.5169611891539,68790.40736035474,585.1855969112918,43.35738398705857,25372.11662897895,702.2227162935501,79.04088204536191,55504.30288813214
10411,The Corporation of the City of Kingston,CATARAQUI BAY WASTEWATER TREATMENT,Kingston,ON,44.2136,-76.5516,operational,3510.0,Frontenac,9731.098,9694.398,9547.449,9535.693,10965.0059,10571.383,10678.222,thousand m3,4833.276184786584,1836.644950218902,35.720838499978186,65606.49764856987,966.6552369573169,52.908503764074595,51144.28224311862,1304.9845698923777,7.604036962242587,9923.150904617885,2271.639806849694,37.03780999542303,84136.56354413845,724.9914277179876,37.96459226357846,27524.003947903013,869.989713261585,69.95510446323985,60860.22127315826
10555,City of St Thomas,Water Pollution Control Plant,St. Thomas,ON,42.7684,-81.2056,operational,3534.0,Elgin,6567.22,6229.2970000000005,5240.763,5643.019,5800.614,6355.738,6699.726000000001,thousand m3,3032.4923119593773,1152.3470785445634,43.24369797378521,49831.74902555484,606.4984623918755,71.29979784755223,43243.21776339198,818.7729242290319,8.425223648991114,6898.34500436805,1425.2713866209072,38.088319687571264,54286.192215165094,454.8738467939066,50.68654866938638,23055.985373950352,545.8486161526879,91.24546625114988,49806.211483396946
10564,Regional Municipality of Waterloo,Kitchener Wastewater Treatment Plant,Kitchener,ON,43.4001,-80.4218,operational,3530.0,Waterloo,26554.947,27365.0822,25016.4918,23963.81,25133.8756,24898.4635,25060.7359,thousand m3,11343.223431643974,4310.42490402471,25.177856062175813,108527.25780035213,2268.6446863287947,30.64846728401332,69530.48244799873,3062.670326543873,6.302826421771048,19303.479455314886,5331.3150128726675,35.189703449690306,187607.39429987103,1701.483514746596,22.370305648979908,38062.706281581966,2041.780217695915,43.01672382018582,87830.69572614405
10565,Regional Municipality of Waterloo,Waterloo Wastewater Treatment Plant,Waterloo,ON,43.4867,-80.5061,operational,3530.0,Waterloo,18327.067,18056.9567,13314.65,15234.367,16276.525,15944.943,15048.19,thousand m3,6811.25175625152,2588.275667375578,31.033993401305622,80324.52998209359,1362.2503512503042,42.47905775448027,57867.11134682271,1839.0379741879105,7.05127169177131,12967.556407483671,3201.2883254382145,36.28324991621125,116153.14436572415,1021.687763437728,30.69077400769912,31356.388254098867,1226.0253161252735,57.530450760387176,70533.78908033317
10566,Regional Municipality of Waterloo,Galt Wastewater Treatment Plant,Cambridge,ON,43.3386,-80.3161,operational,3530.0,Waterloo,9068.1833,9028.7576,7712.2299,6715.5193,8770.9162,9080.583,9469.1834,thousand m3,4286.029885555522,1628.6913565110983,37.52477319672581,61116.27376054666,857.2059771111044,57.13796743502395,48979.00720528217,1157.228069099991,7.807737992406587,9035.333560991314,2014.4340462110952,37.305810897620674,75150.09559367999,642.9044828333283,40.901036962973045,26295.46001602703,771.4853793999939,74.91446242438953,57795.41246602674
10567,Regional Municipality of Waterloo,Preston Wastewater Treatment Plant,Cambridge,ON,43.3875,-80.3513,operational,3530.0,Waterloo,3423.518,3458.3789,3190.4152000000004,3285.6863000000003,3454.5992,3516.2187000000004,3617.3,thousand m3,1637.2959789774468,622.1724720114298,55.67606790988455,34640.116803369114,327.4591957954894,105.77881732279621,34638.24645272083,442.06991432391067,9.648713055238888,4265.405753665454,769.5291101194,39.52320586206295,30414.257436099157,245.594396846617,74.27620028545194,18241.81860916409,294.7132762159404,129.65361410446687,38210.64138596469
10568,City of Stratford,STRATFORD WASTE WATER TREATMENT PLANT,Stratford,ON,43.3694,-81.0061,operational,3531.0,Perth,5356.987,7016.344,5957.254,5952.818,6945.1990000000005,6752.536,6957.5092,thousand m3,3149.1725421885367,1196.685566031644,42.57946093902669,50954.22631514142,629.8345084377074,69.59761864575181,43834.98192818211,850.276586390905,8.355532900904588,7104.513992458049,1480.111094828612,38.002136082691386,56247.38324317825,472.37588132828046,49.51385458433395,23389.15069723507,566.8510575939366,89.30281492431789,50621.39508596518
10684,The Corporation of the City of Kingston,Ravensview Wastewater Treatment,Kingston,ON,44.2417,-76.4207,operational,3510.0,Frontenac,21547.599,22234.975,19372.715,20567.793,28503.425,22308.634,27883.374,thousand m3,12620.832148432335,4795.916216404287,24.099866103914778,115580.9386609369,2524.1664296864674,28.624888113877592,72253.981630581,3407.624680076731,6.1565585777096485,20979.240953741493,5931.791109763197,34.96507923300563,207405.5461465086,1893.12482226485,20.937941658520824,39638.13708087904,2271.7497867178204,40.47780685445822,91955.44908842059
11004,DEPARTMENT OF NATIONAL DEFENCE,8 Wing Trenton Environmental Management,Astra,ON,44.1041,-77.5432,operational,3512.0,Hastings,826.625,964.626,773.2660000000001,755.8100000000001,876.164,820.5450000000001,951.444,thousand m3,430.65143488851294,163.64754525763493,96.26514903354874,15753.555333200638,86.1302869777026,248.65633996706262,21416.841920188283,116.2758874198985,12.944034932080971,1505.0791485218804,202.40617439760106,42.820550103352865,8667.143732020455,64.59771523327694,170.0006111081784,10981.651065849164,77.51725827993232,277.578207144858,21517.101576128516
11104,Norfolk County Public Works & Environmental Services,Simcoe Sewage Treatment Plant,Simcoe,ON,42.8285,-80.2959,operational,3528.0,Haldimand-Norfolk,2661.375,2636.951,2409.423,2323.411,2445.422,2737.098,2627.407,thousand m3,1189.241400004754,451.9117320018065,63.47460368251207,28684.918088292274,237.8482800009508,129.7977904377571,30872.181203544387,321.0951780012836,10.35184998392547,3323.9291132311337,558.9434580022344,40.28873161633768,22519.122968159732,178.3862100007131,90.560982924526,16154.830517845488,214.06345200085573,155.57263852259564,33302.41603902813
11122,The Regional Municipality of Halton,Georgetown Wastewater Treatment Plant,Halton Hills,ON,43.6404,-79.8788,operational,3524.0,Halton,6468.71,6391.984,6071.064,5845.51,6088.015,5941.1900000000005,6062.676,thousand m3,2744.1448142656322,1042.7750294209402,45.051974037741445,46979.07355267727,548.8289628531264,76.00805426712884,41715.42159191247,740.9190998517207,8.612472103637845,6381.145078525408,1289.7480627048471,38.317341938939215,49419.71753374604,411.62172213984485,53.92574868403291,22197.0095410021,493.9460665678138,96.59288188108316,47711.67406361047
11148,The Regional Municipality of Halton,Mid-Halton Wastewater Treatment Plant,Oakville,ON,43.4131,-79.6933,operational,3524.0,Halton,19076.453,19246.848,19222.506,20854.249,21664.598,22423.983,23661.567,thousand m3,10709.918587179789,4069.76906312832,25.777949968302163,104910.3032918658,2141.9837174359577,31.796327642689175,68107.21608489906,2891.6780185385433,6.382993713469863,18457.56261371051,5033.6617359745005,35.31121214021185,177744.69740106264,1606.4877880769684,23.181477595288975,37240.76066641159,1927.785345692362,44.44869471340332,85687.54230365247
11407,City of Windsor,Lou Romano Water Reclamation Plant,Windsor,ON,42.2823,-83.0815,operational,3537.0,Essex,55099.2479,49667.8254,48665.6089,50275.7804,51717.8387,58836.718100000006,57349.8924,thousand m3,25958.241843725773,9864.131900615794,17.931137609368324,176875.1065069017,5191.648368745155,18.04280005502284,93671.87347325432,7008.72529780596,5.253355774490439,36819.327515046156,12200.373666551113,33.48445847318145,408522.90539492725,3893.736276558866,13.389299912819268,52134.40278827085,4672.483531870639,26.83491489021494,125385.69790367951
11440,City of Windsor,Little River Pollution Control Plant 1,Windsor,ON,42.3308,-82.9277,operational,3537.0,Essex,6898.881,6719.777,6195.891,6924.543,6791.406,7224.707,8239.329,thousand m3,3729.361745271962,1417.1574632033455,39.72743778165121,56300.03494621358,745.8723490543924,62.458855872281994,46586.3335487087,1006.9276712234298,8.050405964118124,8106.1765298526725,1752.800020277822,37.61852173857536,65937.74566619657,559.4042617907943,44.585654105992425,24941.40492162239,671.2851141489531,81.09712476617864,54439.29265581612
11524,Regional Municipality of Niagara,Port Dalhousie Wastewater Treatment Plant,St. Catharines,ON,43.2024,-79.2607,operational,3526.0,Niagara,13728.536,12642.245,10988.378,10939.178,12710.29,12809.539,13388.538,thousand m3,6060.044627702084,2302.816958526792,32.55709289827208,74973.02564647314,1212.0089255404168,45.77787043251173,55483.18755643696,1636.2120494795627,7.234902670900499,11837.834926939267,2848.220975019979,36.538544788252835,104069.84966260867,909.0066941553125,32.996929568322194,29994.42986417624,1090.808032986375,61.49303238217264,67077.09369516521
11738,Regional Municipality of Niagara,Port Weller Wastewater Treatment Plant,St. Catharines,ON,43.2265,-79.2186,operational,3526.0,Niagara,13898.852,13037.495,11269.858,10873.694,11460.108,13461.561000000002,14312.054,thousand m3,6478.055031406873,2461.6609119346117,31.678776974323107,77982.4070155854,1295.6110062813748,43.86473871883073,56831.63827177387,1749.074858479856,7.129507902287143,12470.0430252239,3044.6858647612303,36.39260286138816,110804.04351393763,971.7082547110309,31.660142640852502,30764.421949445074,1166.0499056532371,59.19890691552808,69028.87982362628
11920,Regional Municipality of Niagara,Baker Road Wastewater Treatment Plant,Grimsby,ON,43.1834,-79.5365,operational,3526.0,Niagara,7763.9,7461.573,6406.465,6237.516,7627.338,7290.887000000001,7631.97,thousand m3,3454.453264223732,1312.692240405018,40.99446133244618,53813.11129068566,690.8906528447465,65.59599834675934,45319.662121795474,932.7023813404077,8.187172168230704,7636.194977752687,1623.5930341851538,37.79175294840352,61358.4268366742,518.1679896335597,46.75341736219301,24226.12428306632,621.8015875602717,84.71511707014048,52675.99428456763
11955,Regional Municipality of Niagara,Niagara Falls Wastewater Treatment Plant,Niagara Falls,ON,43.1232,-79.0827,operational,3526.0,Niagara,16022.499,13420.372,14891.799,13444.164,16309.711,15143.51,15096.305,thousand m3,6833.0300151818,2596.551405769084,30.993401426342007,80475.96004313386,1366.60600303636,42.39235874819132,57933.651948149214,1844.9181040990861,7.046321289663704,12999.88571459939,3211.524107135446,36.27630097429947,116502.2150966638,1024.95450227727,30.630090222701675,31394.44887891707,1229.945402732724,57.42586310876642,70630.67632858599
12234,Regional Municipality of Niagara,Fort Erie Wastewater Treatment Plant,Fort Erie,ON,42.9385,-78.9262,operational,3526.0,Niagara,4615.525,5226.713,4659.617,4630.403,5475.128000000001,5337.669,5528.432000000001,thousand m3,2502.330324731221,950.885523397864,46.78853034402535,44490.53616519538,500.4660649462442,80.63053529230442,40352.84671224886,675.6291876774297,8.789042274848955,5938.133492618788,1176.0952526236738,38.53000965381852,45314.96143740028,375.3495487096831,57.09983634486896,21432.397803443328,450.4194584516198,101.80771364066092,45856.175244224076
12313,Regional Municipality of Niagara,Port Colborne Wastewater Treatment Plant,Port Colborne,ON,42.9054,-79.252,operational,3526.0,Niagara,4686.632,4318.166,4040.175,3411.989,4409.88,4591.807,4917.21,thousand m3,2225.673336684182,845.7558679399891,49.09095971192693,41518.967239167796,445.1346673368364,86.90900968376476,38686.21311415652,600.9318009047291,9.018532214262565,5419.522805034118,1046.0664682415654,38.8018212617563,40589.2841286259,333.85100050262724,61.40199152923932,20499.11630489039,400.6212006031527,108.83889337696412,43603.16813699789
12329,The Regional Municipality of Halton,Milton Wastewater Treatment Plant,Milton,ON,43.5114,-79.8741,decommissioned,3524.0,Halton,4380.389,4055.55,3752.37,4130.973,4298.682000000001,4405.616,4741.351000000001,thousand m3,2146.074400027838,815.5082720105784,49.82947925706162,40636.35252411328,429.2148800055676,88.95850108440803,38182.31236841934,579.4400880075162,9.091080925411214,5267.736731503726,1008.6549680130837,38.88670179782291,39223.26495801739,321.91116000417566,62.80421328433987,20217.377151511508,386.2933920050108,111.12188691751074,42925.65062336245
12337,The Regional Municipality of Halton,Oakville Southeast Wastewater Treatment Plant,Oakville,ON,43.4822,-79.631,operational,3524.0,Halton,8440.0,7152.7,6055.173,6333.034000000001,6997.272,6876.008,6764.688,thousand m3,3061.8960167630516,1163.5204863699596,43.0729509423638,50116.26082984854,612.3792033526104,70.86082948050252,43393.6983061753,826.711924526024,8.40735677739742,6950.462101619131,1439.091127878634,38.066274050974314,54780.837258153806,459.2844025144577,50.384211719460126,23140.682575734183,551.1412830173492,90.74497367963528,50013.30122116977
12420,Regional Municipality of Niagara,Welland Wastewater Treatment Plant,Welland,ON,43.0075,-79.2384,operational,3526.0,Niagara,14818.202,12767.919,11595.69,10989.012,12923.53,12644.84,13555.141,thousand m3,6135.454027526698,2331.472530460145,32.39243204489877,75522.06550747843,1227.0908055053396,45.41697659796064,55730.754397208686,1656.5725874322086,7.215245266919944,11952.577520779569,2883.663392937548,36.51144269514013,105286.71072331264,920.3181041290047,32.744893462085386,30135.718270932666,1104.3817249548056,61.06108343969017,67434.74465673434
12474,The Regional Municipality of Halton,Oakville Southwest Wastewater Treatment Plant,Oakville,ON,43.4133,-79.6933,operational,3524.0,Halton,10767.169,9988.987,8927.246000000001,10398.798,11117.033,10342.521,10421.86,thousand m3,4717.239231323334,1792.550907902867,36.07851605112843,64672.57670323843,943.4478462646669,53.73779656114934,50698.80842862516,1273.6545924573002,7.644798372415172,9736.832555436678,2217.102438721967,37.09185232659419,82236.43625000704,707.5858846985001,38.540916737294815,27271.00866664998,849.1030616382001,70.9308271869858,60227.582528999716
12505,City of Owen Sound,Owen Sound WPCP,Owen Sound,ON,44.5846,-80.9326,operational,3542.0,Grey,4001.53,3144.7634,3899.405,3756.3982,5097.9310000000005,4765.559,5194.568,thousand m3,2351.213695000392,893.461204100149,47.99886232963082,42885.12133246923,470.2427390000784,83.90989279879027,39458.01781890609,634.8276976501058,8.910316103534319,5656.515457341354,1105.070436650184,38.674282923453646,42737.80671735368,352.6820542500588,59.34818420927088,20931.039522936557,423.21846510007055,105.48741016122328,44644.219815814504
12571,The Regional Municipality of Halton,Burlington Skyway Wastewater Treatment Plant,Burlington,ON,43.3088,-79.8019,operational,3524.0,Halton,36346.5485,35841.378000000004,30941.912,35762.088,37230.636,37078.714,40440.7,thousand m3,18304.645867645268,6955.765429705201,20.692385472206418,143931.37952570754,3660.9291735290535,22.563208676870296,82602.30889357835,4942.254384264223,5.6730143370113595,28037.479979088184,8603.183557793276,34.193701513535096,294174.6906413362,2745.69688014679,16.627253355678523,45653.39766409677,3294.8362561761483,32.74742602646993,107897.40656845954
13726,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,ON,43.8696,-78.7245,decommissioned,3518.0,Durham,92.6169,,,,,,,thousand m3,,,,,,,,,,,,,,,,,,,
14028,Corporation of the City of Guelph,City of Guelph Wastewater Treatment Plant,Guelph,ON,43.522,-80.264,operational,3523.0,Wellington,18031.737,19715.291,18539.329,14937.613,21098.06,20000.901,20684.802,thousand m3,9362.547519018231,3557.768057226928,27.238874053617472,96909.5960227876,1872.5095038036463,34.65356580811397,64889.13131637849,2527.8878301349228,6.57462045072271,16619.90302513812,4400.397333938568,35.59722585463186,156641.9377463311,1404.3821278527346,25.196733235337774,35385.84183598138,1685.2585534232817,47.98909154658009,80874.026999887
14215,City of Ottawa,Robert O. Pickard Environmental Centre,Gloucester,ON,45.4641,-75.5929,operational,3506.0,Ottawa,140180.1536,143603.0564,129239.4072,144176.0,171551.0,151524.0,159012.0,thousand m3,71973.4907829491,27349.926497520657,11.803748663270163,322831.6583356467,14394.69815658982,9.393980820412985,135223.51839863893,19432.84251139626,4.197584130343986,81570.99133331091,33827.540667986075,31.497018255277098,1065466.6659506857,10796.023617442364,7.114781189885052,76811.34575893372,12955.228340930837,15.005441063882456,194398.91533897736
