,Number of animals,kgPin/year,Multiform kgPrec/year,Multiform EUR/kgPrec,Multiform EUR/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Crystalactor EUR/year,Ostara Pearl 500 kgPrec/year,Ostara Pearl 500 EUR/kgPrec,Ostara Pearl 500 EUR/year,Ostara Pearl 2K kgPrec/year,Ostara Pearl 2K EUR/kgPrec,Ostara Pearl 2K EUR/year,Ostara Pearl 10K kgPrec/year,Ostara Pearl 10K EUR/kgPrec,Ostara Pearl 10K EUR/year,Nuresys kgPrec/year,Nuresys EUR/kgPrec,Nuresys EUR/year,MAPHEX kgPrec/year,MAPHEX EUR/kgPrec,MAPHEX EUR/year,EcoPhos kgPrec/year,EcoPhos EUR/kgPrec,EcoPhos EUR/year,AshDec depollution kgPrec/year,AshDec depollution EUR/kgPrec,AshDec depollution EUR/year,AshDec Rhenania kgPrec/year,AshDec Rhenania EUR/kgPrec,AshDec Rhenania EUR/year,PASCH kgPrec/year,PASCH EUR/kgPrec,PASCH EUR/year,LEACHPHOS kgPrec/year,LEACHPHOS EUR/kgPrec,LEACHPHOS EUR/year,RecoPhos kgPrec/year,RecoPhos EUR/kgPrec,RecoPhos EUR/year,Thermophos kgPrec/year,Thermophos EUR/kgPrec,Thermophos EUR/year
10,1063.379415069398,10246.72404360872,1844.4103278495695,73.55640406420424,135668.19133549437,1844.4103278495695,103.59342120519696,191068.7759681359,1844.4103278495695,112.63339031606341,207742.18835965905,1844.4103278495695,147.43804781730287,271936.2581122121,1844.4103278495695,447.62821876549316,825610.1097279821,1844.4103278495695,70.40803418963806,129861.30542295403,1844.4103278495695,197.72174656296477,364680.03140118736,5840.632704856969,13.4,78264.47824508339,6148.034426165232,10.700000000000001,65783.96835996798,6148.034426165232,10.8,66398.77180258451,5635.698223984797,13.600000000000001,76645.49584619324,5533.2309835487085,14.0,77465.23376968192,6250.501666601319,11.4,71255.71899925504,5840.632704856969,11.600000000000001,67751.33937634085
11,1464.1342850194194,14108.397970447128,2539.511634680483,60.45740953668283,153532.29492104883,2539.511634680483,76.20460601102843,193522.48358124896,2539.511634680483,85.24458357670045,216479.6117865236,2539.511634680483,110.52269960337887,280673.6815390766,2539.511634680483,328.54645033348027,834347.5331548466,2539.511634680483,53.97475014602027,137069.50597479058,2539.511634680483,194.14929351000438,493044.3897336521,8041.786843154862,13.4,107759.94369827515,8465.038782268277,10.700000000000001,90575.91497027058,8465.038782268277,10.8,91422.4188484974,7759.61888374592,13.600000000000001,105530.81681894453,7618.534904041449,14.0,106659.48865658029,8606.122761972747,11.4,98109.79948648931,8041.786843154862,11.600000000000001,93284.7273805964
12,2889.0805071424456,27839.179766824604,5011.052358028429,43.31443297800395,217050.89151109103,5011.052358028429,40.36018941423318,202247.0223346672,5011.052358028429,49.400178044917354,247546.87867900732,5011.052358028429,62.210674756192944,311740.9484315603,5011.052358028429,172.701208890945,865414.8000473302,5011.052358028429,32.46810682695041,162699.3832759088,5011.052358028429,194.27787253345667,973536.5912715246,15868.332467090022,13.4,212635.6550590063,16703.50786009476,10.700000000000001,178727.53410301395,16703.50786009476,10.8,180397.8848890234,15311.548871753534,13.600000000000001,208237.06465584808,15033.157074085288,14.0,210464.19903719402,16981.89965776301,11.4,193593.65609849832,15868.332467090022,11.600000000000001,184072.65661824428
13,761.9672031996824,7342.315970032139,1321.6168746057851,92.48701491011822,122232.3995871291,1321.6168746057851,143.17561973822953,189223.31507818526,1321.6168746057851,152.21557663024717,201170.67465238465,1321.6168746057851,200.78795111033315,265364.74440493766,1321.6168746057851,619.7246810010747,819038.5960207075,1321.6168746057851,94.15734597814831,124439.93731281596,1321.6168746057851,202.88464043003222,268135.7643906577,4185.120102918319,13.4,56080.60937910548,4405.389582019284,10.700000000000001,47137.66852760634,4405.389582019284,10.8,47578.20748580827,4038.273783517677,13.600000000000001,54920.52345584042,3964.8506238173554,14.0,55507.90873344298,4478.812741719605,11.4,51058.46525560349,4185.120102918319,11.600000000000001,48547.39319385251
14,3822.9704197902342,36838.1429650987,6630.865733717766,39.01151156641975,258680.09526630698,6630.865733717766,31.363169139944215,207964.96355085057,6630.865733717766,40.40316054796857,267907.9328114223,6630.865733717766,50.08425986900111,332102.0025639753,6630.865733717766,133.5837415129068,885775.8541797452,6630.865733717766,27.06989632878114,179496.84798180722,6630.865733717766,191.9308244907744,1272667.5273600745,20997.741490106255,13.4,281369.7359674238,22102.88577905922,10.700000000000001,236500.87783593367,22102.88577905922,10.8,238711.1664138396,20260.978630804286,13.600000000000001,275549.30937893834,19892.597201153298,14.0,278496.3608161462,22471.267208710204,11.4,256172.44617929633,20997.741490106255,11.600000000000001,243573.8012852326
15,2585.2722043042063,24911.68296067533,4484.102932921559,45.38439334024193,203508.2912858445,4484.102932921559,44.688289689523366,200386.89086403997,4484.102932921559,53.72827698414221,240923.12440541398,4484.102932921559,68.04419941340906,305117.194157967,4484.102932921559,191.51903036583568,858791.0457737369,4484.102932921559,35.06496619048532,157234.91773755054,4484.102932921559,195.40694182195014,876224.8409370391,14199.659287584936,13.4,190275.43445363815,14947.009776405197,10.700000000000001,159933.00460753564,14947.009776405197,10.8,161427.70558517613,13701.425628371433,13.600000000000001,186339.3885458515,13452.30879876468,14.0,188332.3231827055,15196.12660601195,11.4,173235.84330853625,14199.659287584936,11.600000000000001,164716.04773598528
16,3136.702675130964,30225.26697756197,5440.548055961154,41.92388866008588,228088.9309479621,5440.548055961154,37.452686761053144,203763.14214836975,5440.548055961154,46.49267628927047,252945.6396020217,5440.548055961154,58.291868042060194,317139.70935457473,5440.548055961154,160.05989690987158,870813.5609703446,5440.548055961154,30.723605773562277,167153.25366347114,5440.548055961154,193.5193938145923,1052851.5618087612,17228.402177210322,13.4,230860.58917461833,18135.16018653718,10.700000000000001,194046.21399594785,18135.16018653718,10.8,195859.73001460158,16623.896837659086,13.600000000000001,226084.9969921636,16321.644167883464,14.0,228503.01835036848,18437.4128563128,11.4,210186.5065619659,17228.402177210322,11.600000000000001,199849.46525563978
17,4158.671728786178,40072.96077858361,7213.13294014505,37.936963694167744,273644.3624714882,7213.13294014505,29.116386531663668,210020.3667895389,7213.13294014505,38.156378633259834,275227.0315962133,7213.13294014505,47.05598859265455,339421.10134876624,7213.13294014505,123.81512449243405,893094.9529645363,7213.13294014505,25.721827179955895,185534.95891245813,7213.13294014505,191.34470746954602,1380194.812371001,22841.587643792656,13.4,306077.2744268216,24043.776467150168,10.700000000000001,257268.40819850683,24043.776467150168,10.8,259672.78584522184,22040.12842822099,13.600000000000001,299745.7466238055,21639.39882043515,14.0,302951.5834860921,24444.506074936002,11.4,278667.36925427045,22841.587643792656,11.600000000000001,264962.41666799487
18,5016.453037366666,48338.541468065196,8700.937464251734,45.989042708882685,400147.7846507904,8700.937464251734,24.741278470750228,215272.31675963552,8700.937464251734,33.781271922922805,293928.73446423427,8700.937464251734,41.159105635243776,358122.8042167872,8700.937464251734,104.79292140401219,911796.6558325571,8700.937464251734,23.096763153753685,200963.49182744446,8700.937464251734,192.9700629263611,1679020.44999499,27552.96863679716,13.4,369209.77973308193,29003.124880839117,10.700000000000001,310333.4362249786,29003.124880839117,10.8,313233.7487130625,26586.19780743586,13.600000000000001,361572.2901811277,26102.812392755208,14.0,365439.3734985729,29486.51029551977,11.4,336146.2173689254,27552.96863679716,11.600000000000001,319614.4361868471
19,2911.8404127197136,28058.49421696716,5050.528959054089,43.1767527570601,218065.4401574505,5050.528959054089,40.07231249975699,202386.3747362878,5050.528959054089,49.11230121930748,248043.09955389987,5050.528959054089,61.82266686080573,312237.1693064529,5050.528959054089,171.44957051872817,865911.0209222228,5050.528959054089,32.29538073158449,163108.75562854487,5050.528959054089,194.20277423112367,980826.7351829333,15993.34170367128,13.4,214310.77882919516,16835.096530180293,10.700000000000001,180135.53287292915,16835.096530180293,10.8,181819.04252594718,15432.17181933194,13.600000000000001,209877.5367429144,15151.586877162266,14.0,212122.21628027174,17115.681472349966,11.4,195118.76878478963,15993.34170367128,11.600000000000001,185522.76376258687
