ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Ostara Pearl kgPrec/year,Ostara Pearl EUR/kgPrec,P RoC kgPrec/year,P RoC EUR/kgPrec,REMNUT kgPrec/year,REMNUT EUR/kgPrec,AirPrex kgPrec/year,AirPrex EUR/kgPrec,PRISA kgPrec/year,PRISA EUR/kgPrec
14291,Corporation of the City of London,Adelaide Pollution Control Plant,London,ON,43.015,-81.2486,operational,3539.0,Middlesex,9451.68,9044.669,8525.042000000001,10048.57,9812.069,9763.19,10518.457,thousand m3,4760.9618641382185,1809.1655083725232,35.94230107744763,952.1923728276438,53.42142914569886,1285.459703317319,7.629297308534325,2237.6520761449624,37.07132544216664,714.1442796207327,38.321087386656224,856.9731355448793,70.55879380899461
14298,The Corporation of the City of Brantford,City of Brantford Water Pollution Control Plant,Brantford,ON,43.1268,-80.2294,operational,3529.0,Brant,12561.63,12847.5,10597.3,9381.732,13270.978,12696.295,12445.9003,thousand m3,5633.379182247588,2140.6840892540836,33.54636146870321,1126.6758364495176,47.967596934121,1521.012379206849,7.352045690641641,2647.688215656366,36.69895154962114,845.0068773371381,34.52484752645521,1014.0082528045658,64.10601891773246
14351,Regional Municipality of Durham,Harmony Creek WPCP,Oshawa,ON,43.8786,-78.8228,operational,3518.0,Durham,11196.722,9913.709,7715.354,5280.771,4401.803,3994.425,4234.622,thousand m3,1916.7140057748693,728.3513221944503,52.192993494675434,383.34280115497387,95.63204206383975,517.5127815592148,9.31997536474188,900.8555827141885,39.15131532666126,287.50710086623036,67.3632455997023,345.0085210394765,118.51667485073695
14352,Regional Municipality of Durham,Corbett Creek WPCP,Whitby,ON,43.8546,-78.8925,operational,3518.0,Durham,17465.136,18894.861,18117.869,17296.402000000002,18738.299,17869.657,17598.260000000002,thousand m3,7965.488163823748,3026.8855022530242,29.104733254501948,1593.0976327647497,38.42945081513705,2150.681804232412,6.8125648076546605,3743.7794369971616,35.94405353049365,1194.8232245735621,27.852029966414687,1433.7878694882747,52.61942069447548
14353,Regional Municipality of Durham,Courtice WPCP,Courtice,ON,43.8598,-78.759,operational,3518.0,Durham,16031.953,17250.373,17149.587,13740.965,16421.247,16426.023,18646.162,thousand m3,8439.79931605398,3207.123740100513,28.422648010995832,1687.9598632107964,37.03288573814027,2278.745815334575,6.726425053346721,3966.7056785453706,35.81952884037947,1265.969897408097,26.870925527674608,1519.1638768897164,50.91289824224411
14354,Regional Municipality of Durham,Pringle Creek WPCP #1,Whitby,ON,43.8647,-78.9289,decommissioned,3518.0,Durham,531.555,0.0,,,,,,thousand m3,,,,,,,,,,,,,
14355,Regional Municipality of Durham,Port Darlington WPCP,Bowmanville,ON,43.8931,-78.664,operational,3518.0,Durham,4499.31,4691.77,4641.5740000000005,4033.517,4763.671,4597.514,4773.202,thousand m3,2160.49109596857,820.9866164680566,49.6928824455,432.098219193714,88.57813341368173,583.3325959115139,9.077700044780174,1015.4308151052278,38.871083581557116,324.07366439528545,62.5440501881924,388.88839727434254,110.69862194418901
15883,City of Hamilton,Woodward Avenue Wastewater Treatment Plant,Hamilton,ON,43.2518,-79.7714,operational,3525.0,Hamilton,114771.29,111754.04,105233.5,106345.943,126250.897,117338.875,142314.679,thousand m3,64415.7940110486,24478.001724198468,12.353039682220905,12883.15880220972,10.085211229963333,17392.264382983125,4.301293262712148,30275.42318519284,31.707372465983827,9662.36910165729,7.621373994082917,11594.842921988748,15.984957312482239
15912,City of Hamilton,King Street Wastewater Treatment Plant,Dundas,ON,43.2676,-79.9426,operational,3525.0,Hamilton,5390.522,4806.955,3976.08,5051.607,4883.039,4637.446,4765.789,thousand m3,2157.1357549428985,819.7115868783014,49.72455900992295,431.42715098857974,88.66628784769077,582.4266538345827,9.080804564377676,1013.8538048231622,38.87470867989491,323.5703632414348,62.6043489789929,388.28443588972175,110.79673597191852
17231,City of Toronto,North Toronto Treatment Plant,Toronto,ON,43.6998,-79.3571,operational,3520.0,Toronto,6561.6,8436.905,7280.8559,6428.367,5730.610000000001,6871.74,7850.570000000001,thousand m3,3553.3980299341983,1350.2912513749955,40.52254605093524,710.6796059868398,64.42108622706095,959.4174680822337,8.136464340346942,1670.0970740690732,37.7277725106713,533.0097044901297,45.94194189411269,639.6116453881557,83.36238473621263
