,index,Physical Address,latitude,longitude,NURSERY_PI,FINISHERS,SOWS,BOARS,Animal Units
79,195,SR 75 & CR W 200 N,40.576166,-86.530307,0.0,3600.0,0.0,0.0,396.03960396039605
80,196,6141 E CR 1000 S,40.61986476,-86.2567538,1375.0,3125.0,0.0,0.0,495.0495049504951
81,198,3259 E CR 1000 N,40.431113,-86.448125,4000.0,3200.0,0.0,0.0,792.0792079207921
82,201,Jasper Dubois Rd & Steinbottom Rd,38.4097081,-86.81196897,725.0,1720.0,245.0,0.0,360.73719731523715
83,205,2244  E CR 250 N,40.801095,-86.030525,1300.0,3200.0,0.0,0.0,495.0495049504951
84,206,2667 E SR 18,40.578514,-86.019783,0.0,0.0,1800.0,0.0,674.1573033707865
85,208,1303 N CR 425 E,40.058594,-86.823868,0.0,5150.0,0.0,0.0,566.5566556655666
86,210,5326 E CR 250 N,39.648719,-85.341923,1650.0,3050.0,0.0,0.0,517.051705170517
87,217,3211 E CR 1000 N,40.89154,-84.876547,1200.0,2700.0,0.0,0.0,429.042904290429
88,219,4640 S CR 1150 E,40.48601891,-85.45537562,0.0,0.0,1177.0,0.0,440.8239700374532
89,220,3264 N SR 39,40.32969773,-86.57049865,0.0,0.0,1761.0,0.0,659.5505617977528
90,222,6571 W CR 600 S,40.388315,-86.253447,500.0,9900.0,24.0,0.0,1153.1031754860878
91,223,4350 W CR 150 N,40.786428,-86.45824,0.0,4400.0,0.0,0.0,484.04840484048407
92,224,CR 100 E & CR 1300 S,41.043749,-85.811022,2000.0,2924.0,664.0,0.0,790.3833079937208
93,227,94 N CR 600 E,40.041013,-86.790567,0.0,0.0,11356.0,24.0,4262.172284644195
94,229,4287 E CR 850 N,39.647575,-85.701151,0.0,0.0,5970.0,0.0,2235.9550561797755
95,233,6654 N CR 1000 E,40.851314,-86.677125,1426.0,1734.0,0.0,0.0,347.63476347634764
96,234,5650 W CR 900 S,41.032002,-85.598682,1350.0,2950.0,310.0,0.0,589.1521736443308
97,235,9538 W SR 32,40.08267845,-85.84879591,0.0,2850.0,0.0,0.0,313.5313531353135
98,236,6761 W CR 100 S,40.532909,-86.655027,4000.0,1600.0,0.0,0.0,616.0616061606161
99,237,7491 S CR 400 E,40.43845968,-86.44934543,1630.0,3000.0,0.0,0.0,509.35093509350935
100,240,CR 400 N & CR 1000 E,40.35026157,-86.31865604,0.0,0.0,1423.0,50.0,551.685393258427
101,241,4395 E Metz Rd,41.617648,-84.903708,2880.0,0.0,0.0,0.0,316.83168316831683
102,245,1755 E CR 400 N,41.360552,-86.664145,4800.0,4800.0,0.0,0.0,1056.1056105610562
103,247,5382 W CR 1000 N,39.66901679,-85.88429727,1440.0,3080.0,0.0,0.0,497.24972497249723
104,249,305 W SR 246,39.276126,-87.425942,1450.0,2300.0,322.0,0.0,533.1405050617421
105,250,4116 N CR 200 W,40.884192,-85.830652,0.0,5000.0,0.0,0.0,550.05500550055
106,251,10080 S CR 600 E,40.680684,-85.676156,0.0,50.0,795.0,0.0,303.25335904376954
107,252,SR 13 & CR 1000 N,40.97148454,-85.78562035,0.0,3000.0,0.0,0.0,330.03300330033005
108,253,4650 W CR 150 N,38.89834106,-86.12622945,4000.0,0.0,1200.0,0.0,889.4822066476311
109,254,8953 N CR 1200 E,40.882248,-86.638506,2400.0,4655.0,0.0,0.0,776.1276127612762
110,258,8803 N CR 750 W,40.41413395,-86.64702162,1100.0,2350.0,0.0,0.0,379.53795379537956
111,260,6125 N US Hwy 421,39.163947,-85.308742,900.0,1900.0,0.0,0.0,308.03080308030803
112,268,3421 S CR 400 W,39.736434,-85.876554,1800.0,1600.0,0.0,0.0,374.03740374037403
113,271,1685 E CR 350 S,38.32914121,-86.87246732,400.0,1600.0,400.0,0.0,369.83473628261703
114,290,4203 N CR 900 E,40.477727,-86.732666,1930.0,2330.0,0.0,0.0,468.64686468646863
115,299,675 E CR 1400 N,38.862773,-87.041185,4000.0,900.0,0.0,0.0,539.0539053905391
116,300,9707 S CR 700 W,40.27717135,-87.03577969,0.0,8800.0,0.0,0.0,968.0968096809681
117,301,12501 Freedman Rd,38.221596,-87.878536,5400.0,8800.0,0.0,0.0,1562.156215621562
118,302,US Hwy 231 & CR 1000 N,41.15332119,-87.15125791,0.0,0.0,1474.0,0.0,552.059925093633
119,304,5427 Haw Creek Rd,38.574725,-86.866197,0.0,0.0,1432.0,0.0,536.3295880149813
120,305,7119 E CR 100 N,40.757331,-85.087685,0.0,3830.0,0.0,0.0,421.34213421342133
121,306,17797 N CR 500 W,40.34908219,-85.48078989,0.0,12000.0,0.0,0.0,1320.1320132013202
122,308,6262 E Fort Wayne Rd,41.080796,-86.125504,0.0,4000.0,0.0,0.0,440.04400440044003
123,313,2107 S CR 400 E,40.048413,-87.186574,0.0,3471.0,5560.0,0.0,2464.2451885638
124,320,2129 W SR 114,40.945718,-86.282315,0.0,3500.0,0.0,0.0,385.03850385038504
125,326,5570 W SR 205,41.096971,-85.597884,0.0,0.0,1526.0,0.0,571.5355805243446
126,330,3601 W CR 200 N,40.479404,-85.438277,0.0,8000.0,0.0,0.0,880.0880088008801
127,332,67240 CR 17,41.51878286,-85.88482512,0.0,0.0,1810.0,0.0,677.9026217228464
128,341,1096 S CR 300 E,40.981778,-87.333728,0.0,0.0,2304.0,0.0,862.9213483146068
129,345,SR 75 & CR 200 N,40.576166,-86.530307,4000.0,9000.0,0.0,0.0,1430.1430143014302
130,347,7663 N CR 700 E,39.448067,-85.347758,0.0,2440.0,645.0,0.0,509.9998763921336
131,349,9710 S SR 105,41.02120954,-85.62477327,1100.0,2200.0,0.0,0.0,363.036303630363
132,352,4380 S CR 500 E,41.098292,-85.395435,1200.0,1550.0,374.0,0.0,442.60515939234375
133,355,11730 S CR 400 W,40.24766191,-86.97993909,1300.0,1200.0,246.0,0.0,367.16233421094915
134,356,US Hwy 231 & CR 20,38.517471,-86.92207388,0.0,4400.0,0.0,0.0,484.04840484048407
135,363,SR 19 & CR 400 N,40.82015759,-86.03563582,0.0,5500.0,0.0,0.0,605.0605060506051
136,368,3570 E CR 1000 S,40.910316,-86.53411,0.0,11000.0,0.0,0.0,1210.1210121012102
137,376,12267 N CR 600 E,40.945913,-85.964053,1460.0,1800.0,0.0,0.0,358.63586358635865
138,379,13595 Opera Rd,38.12933,-86.562457,0.0,1500.0,1863.0,16.0,868.761820002225
139,381,7620 E CR 900 S,40.309916,-84.832233,0.0,7000.0,0.0,0.0,770.0770077007701
140,383,CR 300 N & CR 800 W,39.067191,-87.09904,5200.0,820.0,1886.0,0.0,1368.6332678211643
141,388,2597 S CR 500 E,41.19820625,-85.7483079,1500.0,2300.0,700.0,0.0,680.2140888246129
142,389,4963 W 240 NW,39.364154,-85.573053,0.0,6100.0,0.0,0.0,671.067106710671
