,Facility Name,Address,City,County,State,Zip,Township,Watershed,Animal 1 Species,Animal 1 Count,Animal 2 Species,Animal 2 Count,Animal Units
48,McChesney Enterprises Inc.,2636 Twp. Rd. 136,Edison,Morrow,OH,43320,Cardington,05060001 - Upper Scioto,Swine - over 55 lbs,9200,,,1012.1012101210122
49,"Millco, Inc.",1752 Beamsville Union City Road,Union City,Darke,OH,45390,Jackson,05080001 - Upper Great Miami,Swine - over 55 lbs,3000,,,330.03300330033005
50,Neal Kremer,9159 St. Rt. 118,Ansonia,Darke,OH,45303-9778,Brown,05080001 - Upper Great Miami,Swine - over 55 lbs,4400,,,484.04840484048407
51,Nofziger Livestock,18482 County Rd K,Wauseon,Fulton,Ohio,43567,Dover,04100006 - Tiffin,Swine - over 55 lbs,10000,,,1100.1100110011
52,Oberholtzer Hog Corporation,1053 Township Road 1806,Ashland,Ashland,OH,44805,Vermillion,05040002 - Mohican,Swine - over 55 lbs,3986,,,438.5038503850385
53,"Overholt Hog Farm, LLC",9335 Sparta Rd.,Fredericktown,Knox,OH,43019,Wayne,05040003 - Walhonding,Swine - over 55 lbs,7200,,,792.0792079207921
54,"Pessefall Farms, LLC",12742 Road 191,Oakwood,Paulding,OH,45873,Brown,04100007 - Auglaize,Swine - over 55 lbs,5200,,,572.057205720572
55,PGC Chesterfield Hogs,16300 Co Ro N,Wauseon,Fulton,OH,43567,Chesterfield,04100006 - Tiffin,Swine - over 55 lbs,4800,,,528.0528052805281
56,Pheasant Run,09504 Farmer-Mark Rd.,Mark Center,Defiance,OH,43536,Mark,04100005 - Upper Maumee,Swine - over 55 lbs,7350,,,808.5808580858086
57,Pitstick Pork Farm,1146 Herr Road,Fairborn,Greene,OH,45324,Bath,05080001 - Upper Great Miami,Swine - over 55 lbs,4745,Swine - under 55 lbs,2400.0,786.0286028602861
58,Profit Family Pork,14380 Wren-Landeck Road,Van Wert,Van Wert,Ohio,45891,York,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
59,"Ralph Jutte Farms, Inc.",492 Cummins Rd.,Fort Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Swine - over 55 lbs,3840,Turkey,3500.0,422.44224422442244
60,"Ringler Livestock, LLC",1297 Co. Rd. 159,Ashley,Morrow,OH,43003,Westfield,05060001 - Upper Scioto,Swine - over 55 lbs,7000,,,770.0770077007701
61,Riverbend Sow Complex,23378 SR 66,Oakwood,Paulding,OH,45873,Washington,04100007 - Auglaize,Swine - over 55 lbs,3500,,,385.03850385038504
62,"RK Swine (formerly D & N Swine Farm, LLC and Livingston...)",1828 Rossburg-Lightsville Rd,New Weston,Darke,OH,45348,Mississinawa,05120103 - Mississinewa,Swine - over 55 lbs,3840,,,422.44224422442244
63,Roger and Lori Rader Farms,3141 TR 118,McComb,Hancock,OH,45858,Pleasant,04100010 - Cedar-Portage,Swine - over 55 lbs,4000,,,440.04400440044003
64,Rose Grove Farm,17325 Road 72,Grover Hill,Paulding,OH,45849,Latty,04100007 - Auglaize,Swine - over 55 lbs,2988,,,328.71287128712873
65,Sager Family Pork,2114 Carter Rd.,LaRue,Marion,OH,43332,Bowling Green,05060001 - Upper Scioto,Swine - over 55 lbs,5499,,,604.950495049505
66,Schmidt Swine Farm,509 Borradaile Rd.,Eaton,Preble,OH,45320,Dixon,05080002 - Lower Great Miami,Swine - over 55 lbs,4800,,,528.0528052805281
67,"Schweinefarmen, LLC",6740 Road 72,Payne,Paulding,Ohio,45880,Benton,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
68,Scioto Prairie,1001 Scioto Chapel Road,Bucyrus,Crawford,OH,44820,Bucyrus,04100011 - Sandusky,Swine - over 55 lbs,6652,,,731.7931793179318
69,Sheldon Farms,9612 Twp. Road 64,Kenton,Hardin,OH,43326,Washington,04100007 - Auglaize,Swine - over 55 lbs,4000,,,440.04400440044003
70,"Shockney & Son, Inc.",6669 Ohio-Indiana State Line Road,Union City,Darke,OH,45390,Washington,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,,440.04400440044003
71,Siefring Farm,2564 Siegrist Jutte Rd,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Swine - over 55 lbs,5760,Beef,130.0,633.6633663366337
72,"Spitnale Pig, Ltd.",21764 Rd. I 17,Cloverdale,Putnam,OH,45827,Perry,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
73,Straathof Sow Farm,28254 Egypt Pike Road,New Holland,Pickaway,OH,43145,Perry,05060003 - Paint,Swine - over 55 lbs,7968,,,876.5676567656766
74,"Straathof Swine, LLC",7111 Old US Route 35 SE,Washington Court House,Fayette,OH,43160,Wayne,05060003 - Paint,Swine - over 55 lbs,5760,,,633.6633663366337
75,"Strickler Farms, LLC",7600 Strickler Rd.,Amanda,Fairfield,OH,43102,Clear Creek,05030204 - Hocking,Swine - over 55 lbs,3500,Swine - under 55 lbs,1000.0,495.049504950495
76,Tillman Farms,14350 State Route 119,Anna,Shelby,OH,45302,Franklin,05080001 - Upper Great Miami,Swine - over 55 lbs,4000,,,440.04400440044003
77,Tim Sinn Family Hog Farm,13724 Road 82,Paulding,Paulding,OH,45879,Latty,04100007 - Auglaize,Swine - over 55 lbs,4800,,,528.0528052805281
78,"Triple R Farms, Inc.",11845 Gamble Road ,Van Wert,Van Wert,OH,45891,Ridge,04100007 - Auglaize,Swine - over 55 lbs,7200,,,792.0792079207921
79,Tuck Farms,7895 Parker Road,Bloomville,Crawford,OH,44818,Lykens,04100011 - Sandusky,Swine - over 55 lbs,4400,,,484.04840484048407
80,"Tuente Farms, Inc",8500 Darke-Shelby County Line Road,Yorkshire,Shelby,OH,45388,Cynthian,05080001 - Upper Great Miami,Swine - over 55 lbs,5783,,,636.1936193619362
81,"Vandenhengel Pork, LLC",1416 John Yoh Road,Scott,Van Wert,OH,45886,Hoaglin,04100007 - Auglaize,Swine - over 55 lbs,7350,,,808.5808580858086
82,Veitch Farms,3105 SR 121,Greenville,Darke,OH,45331,Neave,05080001 - Upper Great Miami,Swine - under 55 lbs,12000,,,1320.1320132013202
83,"Wagner Pork, LLC",7988 County Road 29,Upper Sandusky,Wyandot,OH,43351,Tyemochte,04100011 - Sandusky,Swine - over 55 lbs,3750,,,412.54125412541254
84,Wallace Farms,16241 Louisville Street,Homeworth,Stark,OH,44634,Washington,05040001 - Tuscarawas,Swine - over 55 lbs,3300,,,363.036303630363
85,White Oak Farm,4604 Road 165,Grover Hill,Paulding,OH,45849,Washington,04100007 - Auglaize,Swine - over 55 lbs,2776,,,305.3905390539054
86,"Willow Tree Swine, LLC",4126 Township Rd. 49,Payne,Paulding,OH,45880,Benton,04100007 - Auglaize,Swine - over 55 lbs,9600,,,1056.1056105610562
87,Woodbury Hogs,10697 Ohio-Indiana State Line Road,Union City,Darke,OH,45390,Jackson,05120103 - Mississinewa,Swine - over 55 lbs,3840,,,422.44224422442244
88,Worden Farms,111 Goldsmith Rd.,Caledonia,Crawford,OH,43314,Whetstone,05060001 - Upper Scioto,Swine - over 55 lbs,4620,,,508.25082508250824
89,Wuebker-School Rd. Facility,13968 School Rd.,Ft.Recovery,Darke,OH,46843,Mississinawa,05120103 - Mississinewa,Swine - under 55 lbs,3840,,,422.44224422442244
90,"Ynot Farms, LLC",750 Counts Road,South Solon,Madison,OH,43153,Range,05060003 - Paint,Swine - over 55 lbs,5465,Swine - under 55 lbs,9792.0,1678.4378437843784
