ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units
24201,Corporation of the Town of Rainy River,Rainy River Wastewater Treatment,Rainy River,ON,48.7293,-94.5693,operational,3559,Rainy River,133.068,123.08800000000001,174.305,178.016,190.52,186.163,203.279,thousand m3
24205,Corporation of the Town of Latchford,Latchford Sewage Treatment Plant,Latchford,ON,47.3224,-70.812,operational,,,100.489,104.318,87.635,82.19,86.8579,68.914,88.75800000000001,thousand m3
24237,"Township of MacDonald, Meredith and Aberdeen Additional",Echo Bay Environmental Centre,Echo Bay,ON,46.4882,-84.0743,operational,3557,Algoma,99.001,103.714,87.412,92.584,105.2176,91.5464,97.5463,thousand m3
24238,Town of Blind River,Blind River WPCP,Blind River,ON,46.1839,-82.9541,operational,3557,Algoma,926.5,837.724,676.32,696.7,1054.112,744.274,929.35,thousand m3
24241,Corporation of the Town of Plympton-Wyoming,Lakeshore Area Township of Plympton STP,Camlachie,ON,42.9419,-82.1301,operational,3538,Lambton,442.361,616.92,586.464,541.0160000000001,569.788,590.955,651.665,thousand m3
24256,Township of St. Clair,Courtright WWTP,Courtright,ON,42.8234,-82.4676,operational,3538,Lambton,806.864,1011.476,1020.4670000000001,1240.0140000000001,1259.461,1591.0610000000001,1329.955,thousand m3
24259,Oneida Nation of the Thames,Oneida Village Wastewater Facility,Southowld,ON,42.8162,-81.4087,operational,3539,Middlesex,,,,,,,,thousand m3
24271,Constance Lake First Nation,Constance Lake First Nation,Constance Lake,ON,49.9101,-84.1303,operational,3556,Cochrane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,thousand m3
24283,Webequie First Nation,Webequie First Nation,Webequie,ON,52.984,-87.3568,operational,3560,Kenora,,,,,,,,thousand m3
24284,Norfolk County Public Works & Environmental Services,Port Dover WWTF,Port Dover,ON,42.7879,-80.1856,operational,3528,Haldimand-Norfolk,1545.373,1487.2350000000001,1240.182,1078.2930000000001,1565.016,1547.557,1566.5529999999999,thousand m3
