,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
87,693 E SR 218,2100.0,0.0,29034023.55,18289.767638335044,-73844.84630798445,-164855.0622254847,0.0,23227.21884,1056176.5857912193,191800.46777044365,242094.59090335885,No,No,77239.52867787417,0.0,40.661483000000004,-84.92360699999999,MULTIFORM
88,13519 CR 20,500.0,0.0,6912862.750000001,4354.706580555963,-61004.46937802269,-77317.62865908584,0.0,5530.290200000001,1049140.9709612187,45748.89877471212,95707.99263000826,No,No,18390.363970922423,0.0,41.63907302,-85.72524298,MULTIFORM
89,5431 E CR 600 N,3000.0,0.0,41477176.5,26128.239483335776,-114819.59489613284,-243344.96900919016,0.0,33181.741200000004,1681176.5857912193,273631.1249399047,353687.1528347247,No,No,110342.18382553455,0.0,41.08620603,-87.28678965,MULTIFORM
90,10729 N SR 19,600.0,0.0,8295435.300000002,5225.647896667156,-61777.929727575065,-82731.85110595258,0.0,6636.348240000001,1049140.9709612187,54841.19401576335,104800.28787105948,No,No,22068.43676510691,0.0,40.923807000000004,-86.023911,MULTIFORM
91,6678 S CR 700 W,7000.0,0.0,96780078.50000003,60965.89212778349,-141154.28004484705,24133.00021355026,0.0,77424.06280000001,3036638.8815824385,88730.24387543814,233332.09537936375,Yes,No,257465.09559291403,0.0,39.23892,-85.612998,CRYSTALACTOR
92,3518 S CR 300 W,1972.0,0.0,27264330.686,17174.96275371272,-72643.7943964548,-157362.97053999454,0.0,21811.464548800002,1053430.7707055672,179731.19600771417,229894.5660413126,No,No,72531.59550131805,0.0,40.11148007,-85.04096465,MULTIFORM
93,1982 N CR 600 E,3800.0,0.0,52537756.9,33095.77001222531,-121007.27769255199,-286658.748584124,0.0,42030.20552,1681176.5857912193,346369.4868683145,426425.5147631345,No,No,139766.76617901042,0.0,41.02717178,-87.27608112,MULTIFORM
94,1652 N CR 1100 W,7040.0,0.0,97333107.52000003,61314.26865422797,-141015.54012840815,25104.179628622544,0.0,77866.48601600002,3036638.8815824385,89230.29357803958,233832.1450819652,Yes,No,258936.32471058774,0.0,41.037017,-87.257297,CRYSTALACTOR
95,1533 W CR 300 S,400.0,0.0,5530290.2,3483.7652644447717,-60231.00902847029,-71903.4062122191,0.0,4424.2321600000005,1049140.9709612187,36656.6035336609,86615.69738895702,No,No,14712.29117673794,0.0,40.701407,-84.967135,MULTIFORM
96,6205 S CR 600 W,491.0,0.0,6788431.2205,4276.321862105956,-60934.85794656297,-76830.34863886781,0.0,5430.744976399999,1049140.9709612187,44930.5922030175,94889.68605831363,No,No,18059.33741944582,0.0,41.553719,-85.100755,MULTIFORM
97,8801 E CR 800 N,3950.0,0.0,54611615.72500001,34402.18198639211,-122167.46821688056,-294780.0822544242,0.0,43689.29258,1681176.5857912193,360007.9297298914,440063.9576247114,No,No,145283.87537028716,0.0,40.880878,-86.209599,MULTIFORM
98,1867 CR 59,2300.0,0.0,31799168.650000002,20031.650270557435,-75391.76700708922,-175683.5071192182,0.0,25439.33492,1056176.5857912193,209985.05825254615,260279.18138546136,No,No,84595.67426624316,0.0,41.465746,-84.90865500000001,MULTIFORM
99,4494 E CR 300 N,3000.0,0.0,41477176.5,26128.239483335776,-114819.59489613284,-243344.96900919016,0.0,33181.741200000004,1681176.5857912193,273631.1249399047,353687.1528347247,No,No,110342.18382553455,0.0,41.050841,-87.306577,MULTIFORM
100,5550 E CR 825 S,1400.0,0.0,19356015.7,12193.178425556694,-68219.60119701512,-126393.61814391677,0.0,15484.81256,1053430.7707055672,127723.26722890111,177886.63726249954,No,No,51493.019118582786,0.0,38.234134999999995,-87.460012,MULTIFORM
101,3964 E CR 500 N,3000.0,0.0,41477176.5,26128.239483335776,-114819.59489613284,-243344.96900919016,0.0,33181.741200000004,1681176.5857912193,273631.1249399047,353687.1528347247,No,No,110342.18382553455,0.0,41.071457,-87.314376,MULTIFORM
102,701 S CR 500 E,400.0,0.0,5530290.2,3483.7652644447717,-60231.00902847029,-71903.4062122191,0.0,4424.2321600000005,1049140.9709612187,36656.6035336609,86615.69738895702,No,No,14712.29117673794,0.0,41.59148,-86.797943,MULTIFORM
