,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),Total manure (lbs/yr) ,Total manure method 2 (lbs/yr),Type,latitude,longitude,node ,number,tech_selected
113,"2061 30th Avenue, Baldwin, WI 54002",2250,0.0,31107882.37500001,19596.179612501837,-75005.03683231302,-172976.39589578487,0.0,24886.305900000007,1056176.5857912193,205438.91063202056,255733.03376493577,No,No,82756.63786915092,0.0,68182814.78500889,68380221.5991665,dairy ,44.9057207,-92.38122270000001,n114,114,MULTIFORM
114,"29404 Cty Hwy OO, Richland Center, WI 53581",1864,0.0,25771152.332000006,16234.346132312634,-71808.45721893825,-151515.6102973785,0.0,20616.921865600005,1053430.7707055672,169911.51714737885,220074.88718097727,No,No,68559.2768835988,0.0,56485674.1152251,56648984.9379317,dairy ,43.271593200000005,-90.3635913,n115,115,MULTIFORM
115,"4367 Lark Road, Denmark, WI 54208",1648,0.0,22784795.624,14353.112889512455,-70137.78286390504,-139820.88981214626,0.0,18227.836499200002,1053430.7707055672,150272.15942670815,200435.52946030657,No,No,60614.63964816031,0.0,49940123.89586429,50084355.0964117,dairy ,44.314036,-87.911238,n116,116,MULTIFORM
116,"E7296 County Hwy B, Spring Green, WI 53588",3217,0.0,44477358.93349999,28018.182139297063,-116498.00385466154,-255093.83171889093,0.0,35581.88714679999,1681176.5857912193,293361.4056129858,373417.43350780575,No,No,118323.60178891484,0.0,97486273.4059438,97769096.8618972,dairy ,43.249602200000005,-89.87665439999991,n117,117,MULTIFORM
117,"W7889 Reliance Rd, Whitewater, WI 53190",2442,0.0,33762421.67100001,21268.386939435328,-110503.6861456305,-213133.60775567376,0.0,27009.93733680001,1681176.5857912193,222896.1174948389,302952.14538965886,No,No,89818.53763398512,0.0,74001081.6466629,74215448.124962,dairy ,42.80393,-88.686927,n118,118,MULTIFORM
118,"5519 Hwy 73, Marshall, WI 53559",994,0.0,13742771.147,8657.156682145254,-64825.36350481149,-104063.8875466075,0.0,10994.2169176,1049140.9709612187,90664.83726550514,140623.93112080125,No,No,36560.043574193776,0.0,30121652.398355,30208114.742920697,dairy ,43.150917,-89.072469,n119,119,MULTIFORM
119,"4851 Church Rd, Platteville, WI 53818",2070,0.0,28619251.785,18028.485243501687,-73612.80820311874,-163230.7954914247,0.0,22895.401428,1056176.5857912193,189072.7791981283,239366.9023310435,No,No,76136.1068396188,0.0,62728189.602208205,62909696.7312332,dairy ,42.678453999999995,-90.58284990000001,n120,120,MULTIFORM
120,"5117 County Highway N, Edgar, WI 54426",3309,0.0,45749325.679500006,28819.44815011937,-117209.58737624974,-260074.91637000843,0.0,36599.460543600006,1681176.5857912193,301726.31723475305,381782.345129573,No,No,121707.4287595646,0.0,100274192.94382,100565142.905508,dairy ,44.901323,-89.958202,n121,121,MULTIFORM
121,"S3175 White Rd, Reedsburg, WI 53959",1397,0.0,19314538.523500003,12167.050186073364,-68196.39738652855,-126231.19147051078,0.0,15451.630818800002,1053430.7707055672,127450.4983716696,177613.86840526806,No,No,51382.67693475726,0.0,42333952.11318111,42456012.0861269,dairy ,43.530507899999996,-90.10588390000001,n122,122,MULTIFORM
122,"E2675 County Hwy S, Casco, WI 54205",10029,0.0,138658201.03950003,87346.70459279152,-170231.7920577229,62411.181387159246,0.0,110926.56083160001,3762101.1773736575,127315.06402857135,306462.73914160265,Yes,No,368873.9205287619,0.0,303913533.101713,304798071.308352,dairy ,44.616287,-87.63395,n123,123,CRYSTALACTOR
